method,m,l2_penalty,image,per_pixel_error,latent_norm
fcvae-20,10,1.0,0,0.09354690132690392,2.814474105834961
fcvae-20,10,1.0,1,0.08354314254244052,2.9502673149108887
fcvae-20,10,1.0,2,0.05389345450925897,1.891595721244812
fcvae-20,10,1.0,3,0.0251471736197144,2.388903856277466
fcvae-20,10,1.0,4,0.006223014426675334,2.359741449356079
fcvae-20,10,1.0,5,0.07823835442720113,2.0928471088409424
fcvae-20,10,1.0,6,0.07032770948791663,2.856651782989502
fcvae-20,10,1.0,7,0.04097115242072263,1.7929847240447998
fcvae-20,10,1.0,8,0.047569170242646834,1.7953145503997803
fcvae-20,10,1.0,9,0.03462454888513883,2.471541166305542
vae-20,25,0.0,0,0.003257740271700988,6.632315635681152
vae-20,25,0.0,1,0.08094843349467537,10.12684154510498
vae-20,25,0.0,2,0.03159239976948542,10.053787231445312
vae-20,25,0.0,3,0.014201633801530179,8.03471565246582
vae-20,25,0.0,4,0.005724278687629916,5.554706573486328
vae-20,25,0.0,5,0.021466882936750496,10.721525192260742
vae-20,25,0.0,6,0.028517627072172237,11.369125366210938
vae-20,25,0.0,7,0.0025177409331079595,6.550671100616455
vae-20,25,0.0,8,0.026864440628354504,10.733851432800293
vae-20,25,0.0,9,0.021167740721956117,12.308433532714844
vae-20,25,0.01,0,0.0031421028570898404,4.9791741371154785
vae-20,25,0.01,1,0.07870818564645139,8.170814514160156
vae-20,25,0.01,2,0.034863459017300084,5.585800647735596
vae-20,25,0.01,3,0.014876556570773358,5.655135631561279
vae-20,25,0.01,4,0.00649759009738842,2.601318120956421
vae-20,25,0.01,5,0.02374831987509975,7.673073768615723
vae-20,25,0.01,6,0.07524474983948234,9.031808853149414
vae-20,25,0.01,7,0.002661660686071134,4.363152980804443
vae-20,25,0.01,8,0.02843994582937295,8.019885063171387
vae-20,25,0.01,9,0.01578750981916765,7.827638626098633
vae-20,25,0.1,0,0.005151849935014144,3.24914813041687
vae-20,25,0.1,1,0.0368542618912434,5.314667224884033
vae-20,25,0.1,2,0.03830709385714396,3.4370768070220947
vae-20,25,0.1,3,0.014799134569507271,3.049043893814087
vae-20,25,0.1,4,0.00732201756609763,2.0855565071105957
vae-20,25,0.1,5,0.024998442463309966,4.537808895111084
