better,worse,m,mean_error_better,mean_error_worse,mean_difference,wins,n,p_wilcoxon,p_ttest,p_holm,significant,verdict
vae-20,lasso,200,0.00792102956781118,0.08274876004178497,0.0748277304739738,10,10,0.001953125,2.49856482649795e-05,0.01953125,True,better
vae-20,lasso,300,0.00759974772328559,0.040762272643469696,0.0331625249201841,9,10,0.00390625,0.0042299683620747475,0.01953125,True,better
vae-20,lasso,400,0.00756136724235148,0.010659345359680548,0.003097978117329069,2,10,0.10546875,0.6783190140039795,0.10546875,False,ns
vae-20,lasso,500,0.007630136053817138,0.0007985421230825223,-0.0068315939307346165,0,10,0.001953125,8.299416718082783e-05,0.01953125,True,worse
vae-20,lasso,750,0.00745758173998168,1.4992087551299813e-05,-0.00744258965243038,0,10,0.001953125,0.0003118260780647695,0.01953125,True,worse
vae-20,lasso-dct,10,0.0778148767162668,0.10320714915482716,0.025392272438560348,7,10,0.232421875,0.1739190138377964,0.46484375,False,ns
vae-20,lasso-dct,25,0.02882262403796602,0.0986008996359513,0.0697782755979853,10,10,0.001953125,8.958163479968174e-05,0.01953125,True,better
vae-20,lasso-dct,50,0.01548855020836129,0.08348612010773508,0.0679975698993738,10,10,0.001953125,7.742382630349402e-07,0.01953125,True,better
vae-20,lasso-dct,75,0.00877282982425035,0.07101344759972783,0.06224061777547748,10,10,0.001953125,7.563379219366367e-07,0.01953125,True,better
vae-20,lasso-dct,100,0.008269784632219281,0.06284362148014447,0.054573836847925175,10,10,0.001953125,2.7419179245594924e-07,0.01953125,True,better
vae-20,lasso-dct,200,0.00792102956781118,0.032468022208766455,0.02454699264095528,10,10,0.001953125,4.714436620580754e-07,0.01953125,True,better
vae-20,lasso-dct,300,0.00759974772328559,0.02016867686141031,0.012568929138124721,10,10,0.001953125,1.0035960730778138e-05,0.01953125,True,better
vae-20,lasso-dct,400,0.00756136724235148,0.011490191424748492,0.003928824182397011,9,10,0.00390625,0.0004624840193873322,0.01953125,True,better
vae-20,lasso-dct,500,0.007630136053817138,0.0064154130751658805,-0.00121472297865126,3,10,0.431640625,0.2904467981989077,0.46484375,False,ns
vae-20,lasso-dct,750,0.00745758173998168,0.0006302565982019099,-0.006827325141779771,0,10,0.001953125,0.000505182247070861,0.01953125,True,worse
vae-30,lasso,10,0.07551506774080176,0.12165338580785126,0.04613831806704949,8,10,0.01953125,0.014393189085918426,0.0390625,True,better
vae-30,lasso,25,0.01937793318413377,0.11890471298112822,0.09952677979699445,10,10,0.001953125,6.736628240483388e-06,0.01953125,True,better
vae-30,lasso,50,0.01907752949924998,0.11710466446878572,0.09802713496953575,10,10,0.001953125,9.788133738945479e-06,0.01953125,True,better
vae-30,lasso,75,0.00914920292434349,0.1127080972829487,0.10355889435860519,10,10,0.001953125,9.441866524496549e-06,0.01953125,True,better
vae-30,lasso,100,0.00774840250367387,0.10455147976397898,0.0968030772603051,10,10,0.001953125,1.7677841683489596e-06,0.01953125,True,better
vae-30,lasso,200,0.00722789395702841,0.08274876004178497,0.07552086608475658,10,10,0.001953125,3.059750167469664e-05,0.01953125,True,better
vae-30,lasso,300,0.00714093063922198,0.040762272643469696,0.03362134200424771,9,10,0.00390625,0.0046937646617779445,0.01953125,True,better
vae-30,lasso,400,0.007030979950689381,0.010659345359680548,0.0036283654089911688,2,10,0.10546875,0.6386849753968258,0.10546875,False,ns
vae-30,lasso,500,0.00710103302363536,0.0007985421230825223,-0.006302490900552837,0,10,0.001953125,0.00014915688749039192,0.01953125,True,worse
vae-30,lasso,750,0.006921578497710179,1.4992087551299813e-05,-0.006906586410158881,0,10,0.001953125,0.00019068439892126944,0.01953125,True,worse
vae-30,lasso-dct,10,0.07551506774080176,0.10320714915482716,0.027692081414025387,6,10,0.193359375,0.0991437321487804,0.38671875,False,ns
vae-30,lasso-dct,25,0.01937793318413377,0.0986008996359513,0.07922296645181753,10,10,0.001953125,1.0135510185835646e-05,0.01953125,True,better
vae-30,lasso-dct,50,0.01907752949924998,0.08348612010773508,0.06440859060848511,10,10,0.001953125,5.1236468212504785e-06,0.01953125,True,better
vae-30,lasso-dct,75,0.00914920292434349,0.07101344759972783,0.06186424467538434,10,10,0.001953125,1.2855651000844344e-06,0.01953125,True,better
vae-30,lasso-dct,100,0.00774840250367387,0.06284362148014447,0.05509521897647059,10,10,0.001953125,2.913326679097208e-07,0.01953125,True,better
vae-30,lasso-dct,200,0.00722789395702841,0.032468022208766455,0.025240128251738048,10,10,0.001953125,1.043782907361256e-06,0.01953125,True,better
vae-30,lasso-dct,300,0.00714093063922198,0.02016867686141031,0.01302774622218833,10,10,0.001953125,7.45975068387474e-06,0.01953125,True,better
vae-30,lasso-dct,400,0.007030979950689381,0.011490191424748492,0.004459211474059111,10,10,0.001953125,6.10440812255038e-05,0.01953125,True,better
vae-30,lasso-dct,500,0.00710103302363536,0.0064154130751658805,-0.0006856199484694802,6,10,1.0,0.4502398786637255,1.0,False,ns
vae-30,lasso-dct,750,0.006921578497710179,0.0006302565982019099,-0.006291321899508271,0,10,0.001953125,0.00030837887950703246,0.01953125,True,worse
dcgan-20,lasso,10,0.09889648155165433,0.12165338580785126,0.022756904256196912,5,10,0.375,0.263056750222858,0.375,False,ns
dcgan-20,lasso,25,0.05709462713439238,0.11890471298112822,0.06181008584673583,10,10,0.001953125,0.0008019896351396229,0.01953125,True,better
dcgan-20,lasso,50,0.042669246704534806,0.11710466446878572,0.0744354177642509,10,10,0.001953125,0.0004700739954741721,0.01953125,True,better
dcgan-20,lasso,75,0.024500759376161065,0.1127080972829487,0.08820733790678763,9,10,0.00390625,0.0002058452351514194,0.01953125,True,better
dcgan-20,lasso,100,0.01358619196023296,0.10455147976397898,0.09096528780374602,10,10,0.001953125,9.151397972345453e-07,0.01953125,True,better
dcgan-20,lasso,200,0.01056707624039083,0.08274876004178497,0.07218168380139414,10,10,0.001953125,1.5208057967987597e-05,0.01953125,True,better
dcgan-20,lasso,300,0.01050411925691675,0.040762272643469696,0.030258153386552945,9,10,0.00390625,0.0037720892052575256,0.01953125,True,better
dcgan-20,lasso,400,0.01005047129030314,0.010659345359680548,0.00060887406937741,1,10,0.083984375,0.9262677471982107,0.16796875,False,ns
dcgan-20,lasso,500,0.00935977187206381,0.0007985421230825223,-0.008561229748981287,0,10,0.001953125,0.001577347143291629,0.01953125,True,worse
dcgan-20,lasso,750,0.00938709450791551,1.4992087551299813e-05,-0.00937210242036421,0,10,0.001953125,0.0022768270463051758,0.01953125,True,worse
dcgan-20,lasso-dct,10,0.09889648155165433,0.10320714915482716,0.00431066760317282,4,10,0.845703125,0.8147818694534155,0.966796875,False,ns
dcgan-20,lasso-dct,25,0.05709462713439238,0.0986008996359513,0.041506272501558916,9,10,0.009765625,0.006966855070851189,0.05859375,False,ns
dcgan-20,lasso-dct,50,0.042669246704534806,0.08348612010773508,0.04081687340320027,8,10,0.009765625,0.0017212886099616741,0.05859375,False,ns
dcgan-20,lasso-dct,75,0.024500759376161065,0.07101344759972783,0.046512688223566766,9,10,0.009765625,0.0017797071531446863,0.05859375,False,ns
dcgan-20,lasso-dct,100,0.01358619196023296,0.06284362148014447,0.0492574295199115,10,10,0.001953125,6.244902043700455e-08,0.01953125,True,better
dcgan-20,lasso-dct,200,0.01056707624039083,0.032468022208766455,0.021900945968375628,10,10,0.001953125,1.3575761211252818e-07,0.01953125,True,better
dcgan-20,lasso-dct,300,0.01050411925691675,0.02016867686141031,0.00966455760449356,9,10,0.00390625,0.0010425882847536216,0.02734375,True,better
dcgan-20,lasso-dct,400,0.01005047129030314,0.011490191424748492,0.0014397201344453503,8,10,0.431640625,0.46696273632895346,0.966796875,False,ns
dcgan-20,lasso-dct,500,0.00935977187206381,0.0064154130751658805,-0.00294435879689793,5,10,0.322265625,0.15824270301868573,0.966796875,False,ns
dcgan-20,lasso-dct,750,0.00938709450791551,0.0006302565982019099,-0.008756837909713601,0,10,0.001953125,0.0032434584530611436,0.01953125,True,worse
dcgan-30,lasso,10,0.07311312069112982,0.12165338580785126,0.04854026511672142,9,10,0.005859375,0.003166501321319401,0.01953125,True,better
dcgan-30,lasso,25,0.04592288390687731,0.11890471298112822,0.07298182907425091,10,10,0.001953125,6.312285713846434e-06,0.01953125,True,better
dcgan-30,lasso,50,0.034570850645362236,0.11710466446878572,0.08253381382342348,10,10,0.001953125,2.9977131359564794e-05,0.01953125,True,better
dcgan-30,lasso,75,0.03179999198314931,0.1127080972829487,0.08090810529979939,10,10,0.001953125,9.141003297974217e-05,0.01953125,True,better
dcgan-30,lasso,100,0.029442453498731046,0.10455147976397898,0.07510902626524793,10,10,0.001953125,3.1376991313667105e-05,0.01953125,True,better
dcgan-30,lasso,200,0.023281624519752388,0.08274876004178497,0.05946713552203259,10,10,0.001953125,0.00015701935831170615,0.01953125,True,better
dcgan-30,lasso,300,0.02494077486618752,0.040762272643469696,0.015821497777282173,7,10,0.083984375,0.10210927420722038,0.16796875,False,ns
dcgan-30,lasso,400,0.022917073042893067,0.010659345359680548,-0.01225772768321252,1,10,0.083984375,0.18026019674340277,0.16796875,False,ns
dcgan-30,lasso,500,0.02371623920582319,0.0007985421230825223,-0.022917697082740666,0,10,0.001953125,0.006446836928607736,0.01953125,True,worse
dcgan-30,lasso,750,0.02252886897227288,1.4992087551299813e-05,-0.022513876884721583,0,10,0.001953125,0.003069967840619547,0.01953125,True,worse
dcgan-30,lasso-dct,10,0.07311312069112982,0.10320714915482716,0.030094028463697332,8,10,0.02734375,0.01956927729882209,0.109375,False,ns
dcgan-30,lasso-dct,25,0.04592288390687731,0.0986008996359513,0.052678015729074004,10,10,0.001953125,3.177285789764511e-05,0.01953125,True,better
dcgan-30,lasso-dct,50,0.034570850645362236,0.08348612010773508,0.04891526946237284,9,10,0.00390625,9.776099206203124e-05,0.02734375,True,better
dcgan-30,lasso-dct,75,0.03179999198314931,0.07101344759972783,0.039213455616578526,9,10,0.00390625,0.0006191504827527388,0.02734375,True,better
dcgan-30,lasso-dct,100,0.029442453498731046,0.06284362148014447,0.03340116798141341,9,10,0.00390625,0.00038842021792651456,0.02734375,True,better
dcgan-30,lasso-dct,200,0.023281624519752388,0.032468022208766455,0.00918639768901407,8,10,0.10546875,0.056906204786849136,0.2109375,False,ns
dcgan-30,lasso-dct,300,0.02494077486618752,0.02016867686141031,-0.0047720980047772105,5,10,1.0,0.46391791092160495,1.0,False,ns
dcgan-30,lasso-dct,400,0.022917073042893067,0.011490191424748492,-0.01142688161814458,3,10,0.048828125,0.047705265196074535,0.146484375,False,ns
dcgan-30,lasso-dct,500,0.02371623920582319,0.0064154130751658805,-0.017300826130657306,0,10,0.001953125,0.019791530907611363,0.01953125,True,worse
dcgan-30,lasso-dct,750,0.02252886897227288,0.0006302565982019099,-0.021898612374070973,0,10,0.001953125,0.0035100519210383104,0.01953125,True,worse
fcvae-20,vae-20,10,0.06799476685278144,0.0778148767162668,0.00982010986348536,7,10,0.193359375,0.3027116897193069,1.0,False,ns
fcvae-20,vae-20,25,0.027607125769522827,0.02882262403796602,0.0012154982684431893,6,10,0.375,0.9344503991968626,1.0,False,ns
fcvae-20,vae-20,50,0.011754778665881819,0.01548855020836129,0.003733771542479469,6,10,0.322265625,0.2340463112092718,1.0,False,ns
fcvae-20,vae-20,75,0.008428177901947689,0.00877282982425035,0.0003446519223026601,6,10,0.431640625,0.4765409100116169,1.0,False,ns
